,name,description,closing_date,description2,beds
0,Extendicare Ottawa #2 — Project #24-003,The redevelopment of a 240-bed long-term care home in Orleans,"May 17, 2023","The Ministry of Long-Term Care is reviewing a proposal from Extendicare (Canada) Inc. (the “Licensee”) for issuing a long-term care home licence for Extendicare Ottawa #2 (the “Home”), a 240-bed long-term care home currently located at 1715 Montreal Road, Gloucester, Ontario.",240
0,Southbridge Ottawa — Project #24-005,The development of a 192-bed long-term care home in Ottawa,"May 13, 2023","The Ministry of Long-Term Care is reviewing a proposal from CVH (No. 10) LP by its general partner, Southbridge Care Homes (a limited partnership, by its general partner, Southbridge Health Care GP Inc.) (the “Licensee”) for issuing a long-term care home licence for Southbridge Ottawa (the “Home”), a 192-bed long-term care home to be located in Ottawa, Ontario.",192
0,Extendicare St. Catharines — Project #24-004,The redevelopment of a 152-bed long-term care home in St. Catharines,"May 12, 2023","The Ministry of Long-Term Care is reviewing a proposal from Extendicare (Canada) Inc. (the “Licensee”) for issuing a long-term care home licence for Extendicare St. Catharines (the “Home”), a 152-bed long-term care home currently located at 283 Pelham Avenue, St. Catharines, Ontario",152
0,Batchewana First Nation Long Term Care Home — Project #23-059,The development of a new 96-bed long-term care home in Batchewana First Nation,"May 12, 2023","The Ministry of Long-Term Care is reviewing a proposal from Batchewana First Nation (the “Licensee”) for issuing a long-term care home licence for Batchewana First Nation Long Term Care Home (the “Home”), a 96-bed long-term care home proposed to be developed on Gran Street in Batchewana First Nation.",96
0,Sumac Lodge — Project #24-002,The redevelopment of a 100-bed long-term care home in Sarnia,"May 12, 2023","The Ministry of Long-Term Care is reviewing a proposal from Revera Long Term Care Inc. (the “Current Licensee”) for issuing a long-term care home licence for Sumac Lodge (the “Home”), a 100-bed long-term care home currently located at 1464 Blackwell Road, Sarnia, Ontario.",100
0,Sandfield Place — Project #24-012,The development of a 53-bed long-term care home in Cornwall,"May 10, 2023","The Ministry of Long-Term Care is reviewing a proposal from 458422 Ontario Limited (the “Licensee”) for issuing a long-term care home licence for Sandfield Place (the “Home”), a 53-bed long-term care home currently located at 220 Emma Avenue, Cornwall, Ontario.",53
0,Wikwemikong Long Term Care Home — Project #24-001,The redevelopment of a 59-bed long-term care home in Wikwemikong,Closed,"The Ministry of Long-Term Care is reviewing a proposal from Wikwemikong Nursing Home Limited (the “Licensee”) for issuing a long-term care home licence for Wikwemikong Long Term Care Home (the “Home”), a 59-bed long-term care home currently located at 2281 Wikwemikong Way, Wikwemikong, Ontario.",59
0,Grove Park Home for Senior Citizens — Project #23-068,The redevelopment of a 143-bed long-term care home in Barrie,Closed,"The Ministry of Long-Term Care is reviewing a proposal from Grove Park Home for Senior Citizens (the “Licensee”) for issuing a long-term care (LTC) home licence for Grove Park Home for Senior Citizens (the “Home”), a 143-bed long-term care home located at 234 Cook Street, Barrie, Ontario.",143
0,Lancaster Long-Term Care Residence — Project #23-066,The redevelopment of a 60-bed long-term care home in Lancaster,Closed,"The Ministry of Long-Term Care is reviewing a proposal from DTOC II Long Term Care LP, by its general partner, DTOC II Long Term Care MGP (a general partnership) by its partners, DTOC II Long Term Care GP Inc. and Arch Venture Holdings Inc. (the “Licensee”) for issuing a long-term care home licence for Lancaster Long-Term Care Residence (the “Home”), a 60-bed long-term care home currently located at 105 Military Road North, Lancaster, Ontario.",60
0,NOSH-Marathon — Project #23-063,The development of a new 14-bed long-term care home in Marathon,Closed,"The Ministry of Long-Term Care is reviewing a proposal from North of Superior Healthcare (NOSH) Group (the “Licensee”) for issuing a long-term care home licence for NOSH-Marathon (the “Home”), a new 14-bed long-term care home to be located at 26 Peninsula Road, Marathon, Ontario.",14
0,Seniors’ Health Centre — Project #23-062,The redevelopment of a 192-bed long-term care home in North York,Closed,"The Ministry of Long-Term Care is reviewing a proposal from North York General Hospital (the “Licensee”) for issuing a long-term care home licence for Seniors’ Health Centre (the “Home”), a 192-bed long-term care home currently located at 2 Buchan Court, North York, Ontario.",192
0,The Elliott Long Term Care Residence — Project #23-061,The redevelopment of an 85-bed long-term care home in Guelph,Closed,"The Ministry of Long-Term Care is reviewing a proposal from The Corporation of the City of Guelph (the “Operator”) for issuing a long-term care home licence for The Elliott Long Term Care Residence (the “Home”), an 85-bed long-term care home located at 170 Metcalfe Street, Guelph, Ontario.",85
0,Pine Villa Nursing Home — Project #23-060,The redevelopment of a 41-bed long-term care home in Stoney Creek,Closed,"The Ministry of Long-Term Care is reviewing a proposal from Rykka Care Centres LP (the “Licensee”) for issuing a long-term care home licence for Pine Villa Nursing Home (the “Home”), a 41-bed long-term care home located at 490 Highway 8, Stoney Creek, Ontario.",41
0,Banwell Gardens Care Centre — Project #23-059,The redevelopment of a 142-bed long-term care home in Windsor,Closed,"The Ministry of Long-Term Care is reviewing a proposal from Rykka Care Centres LP (the “Licensee”) for issuing a long-term care home licence for Banwell Gardens Care Centre (the “Home”), a 142-bed long-term care home currently located at 3000 Banwell Road, Windsor, Ontario.",142
0,Arcavia Long Term Care-Orillia — Project #23-058,Development of a 160-bed long-term care home in Orillia,Closed,"The Ministry of Long-Term Care is reviewing a proposal from Arcavia Living Ltd. (the “Licensee”) for issuing a long-term care home licence for Arcavia Long Term Care-Orillia (the “Home”), a 160-bed long-term care home to be developed at 640 Atherley Road in Orillia, Ontario. ",160
0,Babcock Community Care Centre — Project #23-057,The redevelopment of a 60-bed long-term care home in Wardsville,Closed,"The Ministry of Long-Term Care is reviewing a proposal from Babcock Community Care Centre Inc. (the “Licensee”) for issuing a long-term care home licence for Babcock Community Care Centre (the “Home”), a 60-bed long-term care home located at 196 Wellington Street, Wardsville, Ontario.",60
0,Schlegel Villages - Ajax — Project #23-056,The development of a 192-bed long-term care home in Ajax,Closed,"The Ministry of Long-Term Care is reviewing a proposal from Schlegel Villages Inc. (the “Licensee”) for issuing a long-term care home licence for Schlegel Villages-Ajax (the “Home”), a 192-bed long-term care home proposed to be located on a parcel of land northwest of Notre Dame Catholic Secondary School on Harwood Ave North, Ontario.",192
0,Sara Vista — Project #23-055,The redevelopment of a 60-bed long-term care home in Elmvale,Closed,"The Ministry of Long-Term Care is reviewing a proposal from Revera Long-Term Care Inc., for issuing a long-term care home licence for Sara Vista (the “Home”), a 60-bed long-term care home located at 27 Simcoe Street, Elmvale, Ontario.",60
0,Sprucedale Care Centre — Project #23-054,The redevelopment of a 96-bed long-term care home in Strathroy,Closed,"The Ministry of Long-Term Care is reviewing a proposal from Sprucedale Care Centre Inc. (the “Licensee”) for issuing a long-term care (LTC) home licence for Sprucedale Care Centre (the “Home”), a 96-bed long-term care home located at 96 Kittridge Avenue East, Strathroy, Ontario.",96
0,South Centennial Manor — Project #23-053,The redevelopment of a 69-bed long-term care home in Iroquois Falls,Closed,"The Ministry of Long-Term Care is reviewing a proposal from Anson General Hospital (the “Licensee”) for issuing a long-term care home licence for South Centennial Manor (the “Home”), a 69-bed long-term care home located at 240 Fyfe Street, Iroquois Falls, Ontario.",69
0,St. Joseph’s Health Care Centre-Guelph — Project #23-052,The redevelopment of a 240-bed long-term care home in Guelph,Closed,"The Ministry of Long-Term Care is reviewing a proposal from St. Joseph’s Health System (the “Licensee”) for issuing a long-term care home licence for St. Joseph’s Health Care Centre-Guelph (the “Home”), a 240-bed long-term care home located at 100 Westmount Road, Guelph, Ontario.",240
0,Iroquois Lodge Nursing Home — Project #23-051,The redevelopment of a 50-bed long-term care home in Oshweken,Closed,"The Ministry of Long-Term Care is reviewing a proposal from Six Nations of the Grand River (the “Licensee”) for issuing a long-term care home licence for Iroquois Lodge Nursing Home (the “Home”), a 50-bed long-term care home located at 1755 Chiefswood Road, Oshweken, Ontario.",50
0,Speakman Home #1 and Speakman Home #2 — Project #23-050,Development of two new long-term care homes in Mississauga,Closed,"The Ministry of Long-Term Care is reviewing a proposal from Partners Community Health (the “Proposed Licensee”) for issuing long-term care home licences for Speakman Home #1 and Speakman Home #2 (the “Homes”), a 151-bed long-term care home to be redeveloped at 2180 Speakman Drive in Mississauga, Ontario. While located on the same site, each home is licensed separately to support resident care, safety and operational capability.",
0,Tyndall Nursing Home — Project #23-049,Development of a 224-bed long-term care home in Mississauga,Closed,"The Ministry of Long-Term Care is reviewing a proposal from Tyndall Seniors Village Inc. (the “Proposed Licensee”) for issuing a long-term care (LTC) home licence for Tyndall Nursing Home (the “Home”), a 151-bed long-term care home to currently located at 1060 Eglinton Avenue, Mississauga, Ontario.",224
0,The Village Green Nursing Home — Project #23-048,Development of a 128-bed long-term care home in Greater Napanee,Closed,"The Ministry of Long-Term Care is reviewing a proposal from 0760444 B.C. Ltd. as General Partner on behalf of Omni Health Care Limited Partnership (the “Proposed Licensee”) for issuing a long-term care (LTC) home licence for The Village Green Nursing Home (the “Home”), a 66-bed LTC home currently located at 166 Pleasant Drive in Selby, Ontario.",128
0,The Grove Nursing Home — Project #23-047,The development of a 96-bed long-term care home in Arnprior,Closed,"The Ministry of Long-Term Care is reviewing a proposal from Arnprior Regional Health (the “Licensee”) for issuing a long-term care home licence for The Grove Nursing Home (the “Home”), a 96-bed long-term care home located at 274 Ida Street North, Arnprior, Ontario.",96
0,Mon Sheong Long Term Care – Richmond Hill — Project #23-046,The development of a 288-bed long-term care home in Richmond Hill,Closed,"The Ministry of Long-Term Care is reviewing a proposal from Mon Sheong Foundation (the “Licensee”) for issuing a long-term care home licence for Mon Sheong Long Term Care-Richmond Hill (2) (the “Home”), a 288-bed long-term care home located at 1577 Major Mackenzie Drive East, Richmond Hill, Ontario.",288
0,Mon Sheong Long Term Care – Stouffville — Project #23-045,The development of a 224-bed long-term care home in Whitchurch-Stouffville,Closed,"The Ministry of Long-Term Care is reviewing a proposal from Mon Sheong Foundation (the “Licensee”) for issuing a long-term care home licence for Mon Sheong Long Term Care-Stouffville (2) (the “Home”), a 224-bed long-term care home located at 176 Sandiford Drive, Whitchurch-Stouffville, Ontario.",224
0,Mon Sheong Long Term Care – Markham — Project #23-044,The development of a 320-bed long-term care home in Markham,Closed,"The Ministry of Long-Term Care is reviewing a proposal from Mon Sheong Foundation (the “Licensee”) for issuing a long-term care home licence for Mon Sheong Long Term Care-Markham (the “Home”), a 320-bed long-term care home located at 8885 Woodbine Avenue, Markham, Ontario.",320
0,Fairview Mennonite Home — Project #23-043,The development of a 192-bed long-term care home in Cambridge,CLosed,"The Ministry of Long-Term Care is reviewing a proposal from Fairview Mennonite Homes (the “Licensee”) for issuing a long-term care home licence for Fairview Mennonite Home (the “Home”), an 84-bed long-term care home located at 515 Langs Drive, Cambridge, Ontario.",192
0,Extendicare Kawartha Lakes — Project #23-042,The development of a 160-bed long-term care home in Lindsay,Closed,"The Ministry of Long-Term Care is reviewing a proposal from Extendicare (Canada) Inc. (the “Licensee”) for issuing a long-term care home licence for Extendicare Kawartha Lakes (the “Home”), a 64-bed long-term care home located at or near 125 Colborne Street East, Lindsay, Ontario.",160
0,Foyer Des Pionniers — Project #23-041,The development of a 79-bed long-term care home in Hearst,Closed,"The Ministry of Long-Term Care is reviewing a proposal from Foyer Hearst-Mattice-Soins De Sante (the “Licensee”) for issuing a long-term care (LTC) home licence for Foyer Des Pionniers (the “Home”), a 67-bed LTC home located at 67-15th Street, Hearst, Ontario.",79
0,Schlegel Villages-Stouffville — Project #23-040,The development of a 192-bed long-term care home in Schlegel Villages-Stouffville,Closed,"The Ministry of Long-Term Care is reviewing a proposal from Schlegel Villages Inc. (the “Licensee”) for issuing a long-term care (LTC) home licence for Schlegel Villages-Stouffville (the “Home”), a 192-bed long-term care home located at or near 1060 Hoover Park, Stouffville, Ontario",192
0,Extendicare Port Stanley — Project #23-039,The development of a 128-bed long-term care home in Port Stanley,Closed,"The Ministry of Long-Term Care is reviewing a proposal from Extendicare (Canada) Inc. (the “Licensee”) for issuing a long-term care (LTC) home licence for Extendicare Port Stanley (the “Home”), a 60-bed long-term care (LTC) home located at 4551 East Road, Port Stanley, Ontario.",128
0,Pleasant Manor Retirement Village — Project #23-038,The development of a 160-bed long-term care in Virgil,Closed,"The Ministry of Long-term Care is reviewing a proposal from Pleasant Manor Retirement Village (the “licensee”) for issuing a long-term care home licence for Pleasant Manor Retirement Village (the “home”), a proposed 160-bed long-term care home to be developed in Virgil, Ontario. The proposal involves:",160
0,Fiddick’s Nursing Home — Project #23-037,"Licence Transfer of the Long-Term Care Home’s Licence to Omni Healthcare (Lambton) Limited Partnership, by its general partner, Omni Healthcare (Lambton) GP Ltd.",Closed,"The MLTC is reviewing a request from Fiddick’s Nursing Home Limited (the “Current Licensee”) in conjunction with Omni Healthcare (Lambton) Limited Partnership, by its general partner, Omni Healthcare (Lambton) GP Ltd. (the “Proposed Purchaser”) for a licence transfer of Fiddick’s Nursing Home, a 128-bed, long-term care home located in Petrolia, Ontario (the “Home”).",
0,Westgate Lodge — Project #23-036,The development of a 160-bed long-term care home in Belleville,Closed,"The Ministry of Long-term Care is reviewing a proposal from Crown Ridge Health Care Services Inc. (the Licensee) for issuing a long-term care home licence for Westgate Lodge (the Home), a proposed 160-bed long-term care home to be redeveloped at 37 Wilkie Street in Belleville, Ontario. The proposal involves:",160
0,Craiglee Nursing Home — Project #23-035,Licence Transfer of the Long-Term Care Home’s Licence,Closed,"The Ministry of Long-term Care is reviewing a licence transfer request from CVH (Number 1) LP by its general partners, Southbridge Health Care GP Inc. and Southbridge Care Homes (a limited partnership, by its general partner, Southbridge Care Homes Inc.) (the “Current Licensee”) related to Craiglee Nursing Home (the “Home”), a 169-bed long-term care home, located in Scarborough, Ontario. The licence request includes the following:",
0,Orchard Villa — Project #23-034,Licence Transfer of the Long-Term Care Home’s Licence,Closed,"The Ministry of Long-term Care is reviewing a proposal related to Orchard Villa (the “Home”), a 233-bed long-term care home, located in Pickering, Ontario.",
0,Warkworth Place — Project #23-033,Licence Transfer of the Long-Term Care Home’s Licence,Closed,"The Ministry of Long-term Care is reviewing a licence transfer request from CVH (Number 6) LP by its general partners, Southbridge Health Care GP Inc. and Southbridge Care Homes (a limited partnership, by its general partner, Southbridge Care Homes Inc.) (the “Current Licensee”) related to Warkworth Place (the “Home”), a 60-bed long-term care home, located in Warkworth, Ontario. The licence request includes the following:",
0,Southbridge Roseview — Project #23-032,Licence Transfer of the Long-Term Care Home’s Licence,Closed,"The Ministry of Long-term Care is reviewing a licence transfer request from CVH (Number 9) LP by its general partners, Southbridge Health Care GP Inc. and Southbridge Care Homes (a limited partnership, by its general partner, Southbridge Care Homes Inc.) (the “Current Licensee”) related to Southbridge Roseview (the “Home”), a 157-bed long-term care home, located in Thunder Bay, Ontario. The licence request includes the following:",
0,Southbridge Pinewood — Project #23-031,Licence Transfer of the Long-Term Care Home’s Licence,Closed,"The Ministry of Long-term Care is reviewing a licence transfer request from CVH (Number 9) LP by its general partners, Southbridge Health Care GP Inc. and Southbridge Care Homes (a limited partnership, by its general partner, Southbridge Care Homes Inc.) (the “Current Licensee”) related to Southbridge Pinewood (the “Home”), a 128-bed long-term care home, located in Thunder Bay, Ontario. The licence request includes the following:",
0,Queensway Long Term Care Home — Project #23-030,Licence Transfer of the Long-Term Care Home’s Licence,Closed,"The Ministry of Long-term Care is reviewing a licence transfer request from CVH (Number 8) LP by its general partners, Southbridge Health Care GP Inc. and Southbridge Care Homes (a limited partnership, by its general partner, Southbridge Care Homes Inc.) (the “Current Licensee”) related to Queensway Long Term Care Home (the “Home”), a 60-bed long-term care home, located in Hensall, Ontario. The licence request includes the following:",
0,Pinecrest (Plantagenet) — Project #23-029,Licence Transfer of the Long-Term Care Home’s Licence,Closed,"The Ministry of Long-term Care is reviewing a licence transfer request from CVH (Number 4) LP by its general partners, Southbridge Health Care GP Inc. and Southbridge Care Homes (a limited partnership, by its general partner, Southbridge Care Homes Inc.) (the “Current Licensee”) related to Pinecrest (Plantagenet) (the “Home”), a 60-bed long-term care home, located in Plantagenet, Ontario. The licence request includes the following:",
0,Manoir Marochel — Project #23-028,Licence Transfer of the Long-Term Care Home’s Licence,Closed,"The Ministry of Long-term Care is reviewing a licence transfer request from CVH (Number 4) LP by its general partners, Southbridge Health Care GP Inc. and Southbridge Care Homes (a limited partnership, by its general partner, Southbridge Care Homes Inc.) (the “Current Licensee”) related to Manoir Marochel (the “Home”), a 64-bed long-term care home, located in Ottawa, Ontario. The licence request includes the following:",
0,Errinrung Long Term Care Home — Project #23-027,Licence Transfer of the Long-Term Care Home’s Licence,Closed,"The Ministry of Long-term Care is reviewing a licence transfer request from CVH (Number 8) LP by its general partners, Southbridge Health Care GP Inc. and Southbridge Care Homes (a limited partnership, by its general partner, Southbridge Care Homes Inc.) (the “Current Licensee”) related to Errinrung Long Term Care Home (the “Home”), a 60-bed long-term care home, located in Thornbury, Ontario. The licence request includes the following:",
0,Country Village Homes–Woodslee — Project #23-026,Licence Transfer of the Long-Term Care Home’s Licence,Closed,"The Ministry of Long-term Care is reviewing a licence transfer request from CVH (Number 5) LP by its general partners, Southbridge Health Care GP Inc. and Southbridge Care Homes (a limited partnership, by its general partner, Southbridge Care Homes Inc.) (the “Current Licensee”) related to Country Village Homes-Woodslee (the “Home”), a 104-bed long-term care home, located in South Woodslee, Ontario. The licence request includes the following:",
0,Country Lane Long Term Care Residence #23-025,Licence Transfer of the Long-Term Care Home’s Licence,Closed,"The Ministry of Long-term Care is reviewing a licence transfer request from CVH (Number 2) LP (the “Current Licensee”) related to Country Lane Long Term Care Residence (the “Home”), a 34-bed long-term care home, located in Chatsworth, Ontario. The licence request includes the following:",
0,West Park Health Centre — Project #23-024,Licence Transfer of the Long-Term Care Home’s Licence,Closed,"The Ministry of Long-term Care is reviewing a licence transfer request from CVH (Number 1) LP (the “Current Licensee”) related to West Park Health Centre (the “Home”), a 101-bed long-term care home, located in St. Catharines, Ontario. The licence request includes the following",
0,The Palace — Project #23-023,Licence Transfer of the Long-Term Care Home’s Licence,Closed,"The Ministry of Long-term Care is reviewing a licence transfer request from CVH (Number 6) LP by its general partners, Southbridge Health Care GP Inc. and Southbridge Care Homes (a limited partnership, by its general partner, Southbridge Care Homes Inc.) (the “Current Licensee”) related to The Palace (the “Home”), a 70-bed long-term care home, located in Alexandria, Ontario. The licence request includes the following:",
0,Shelburne Long Term Care Home — Project #23-022,Licence Transfer of the Long-Term Care Home’s Licence,Closed,"The Ministry of Long-term Care is reviewing a licence transfer request from CVH (Number 8) LP by its general partners, Southbridge Health Care GP Inc. and Southbridge Care Homes (a limited partnership, by its general partner, Southbridge Care Homes Inc.) (the “Current Licensee”) related to Shelburne Long Term Care Home (the “Home”), a 60-bed long-term care home, located in Shelburne, Ontario. The licence request includes the following:",
0,Seaforth Long Term Care Home — Project #23-021,Licence Transfer of the Long-Term Care Home’s Licence,Closed,"The Ministry of Long-term Care is reviewing a licence transfer request from CVH (Number 8) LP by its general partners, Southbridge Health Care GP Inc. and Southbridge Care Homes (a limited partnership, by its general partner, Southbridge Care Homes Inc.) (the “Current Licensee”) related to Seaforth Long Term Care Home (the “Home”), a 63-bed long-term care home, located in Seaforth, Ontario. The licence request includes the following:",
0,Port Perry Place — Project #23-020,Licence Transfer of the Long-Term Care Home’s Licence,Closed,"The Ministry of Long-term Care is reviewing a licence transfer request from CVH (Number 6) LP by its general partners, Southbridge Health Care GP Inc. and Southbridge Care Homes (a limited partnership, by its general partner, Southbridge Care Homes Inc.) (the “Current Licensee”) related to Port Perry Place (the “Home”), a 107-bed long-term care home, located in Port Perry, Ontario. The licence request includes the following:",
0,Regency Long Term Care Home — Project #23-019,Licence Transfer of the Long-Term Care Home’s Licence,Closed,"The Ministry of Long-term Care is reviewing a licence transfer request from CVH (Number 6) LP by its general partners, Southbridge Health Care GP Inc. and Southbridge Care Homes (a limited partnership, by its general partner, Southbridge Care Homes Inc.) (the “Current Licensee”) related to Regency Long Term Care Home (the “Home”), a 60-bed long-term care home, located in Port Hope, Ontario. The licence request includes the following:",
0,Hope Street Terrace — Project #23-018,Licence Transfer of the Long-Term Care Home’s Licence,Closed,"The Ministry of Long-term Care is reviewing a licence transfer request from CVH (Number 6) LP by its general partners, Southbridge Health Care GP Inc. and Southbridge Care Homes (a limited partnership, by its general partner, Southbridge Care Homes Inc.) (the “Current Licensee”) related to Hope Street Terrace (the “Home”), a 97-bed long-term care home, located in Port Hope, Ontario. The licence request includes the following:",
0,Southbridge Lakehead — Project #23-017,Licence Transfer of the Long-Term Care Home’s Licence,Closed,"The Ministry of Long-term Care is reviewing a proposal related to Southbridge Lakehead (the “Home”), a 131-bed long-term care home, located in Thunder Bay, Ontario.",
0,Parisien Manor — Project #23-016,Licence Transfer of the Long-Term Care Home’s Licence,Closed,"The Ministry of Long-term Care is reviewing a proposal from CVH (Number 6) LP by its general partners, Southbridge Health Care GP Inc. and Southbridge Care Homes (a limited partnership, by its general partner, Southbridge Care Homes Inc.) (the “Current Licensee”) related to Parisien Manor (the “Home”), a 65-bed long-term care home, located in Cornwall, Ontario. The licence request includes the following:",
0,Maple View — Project #23-015,Licence Transfer of the Long-Term Care Home’s Licence,Closed,"The Ministry of Long-term Care is reviewing a proposal from CVH (Number 3) LP by its general partners, Southbridge Health Care GP Inc. and Southbridge Care Homes (a limited partnership, by its general partner, Southbridge Care Homes Inc.) (the “Current Licensee”) related to Maple View (the “Home”), a 29-bed long-term care home, located in Owen Sound, Ontario. The licence request includes the following:",
0,Maitland Manor — Project #23-014,Licence Transfer of the Long-Term Care Home’s Licence,Closed,"The Ministry of Long-term Care is reviewing a proposal CVH (Number 2) LP (the “Current Licensee”) related to Georgian Heights (the “Home”), a 40-bed long-term care home, located in Owen Sound, Ontario. The licence request includes the following:",
0,Georgian Heights — Project #23-013,Licence Transfer of the Long-Term Care Home’s Licence,Closed,"The Ministry of Long-term Care is reviewing a proposal CVH (Number 2) LP (the “Current Licensee”) related to Georgian Heights (the “Home”), a 40-bed long-term care home, located in Owen Sound, Ontario. The licence request includes the following:",
0,Chelsey Park — Project #23-012,Licence Transfer of the Long-Term Care Home’s Licence,Closed,"The Ministry of Long-term Care is reviewing a proposal from CVH (Number 3) LP by its general partners, Southbridge Health Care GP Inc. and Southbridge Care Homes (a limited partnership, by its general partner, Southbridge Care Homes Inc.) (the “Current Licensee”) related to Chelsey Park (the “Home”), a 87-bed long-term care home, located in London, Ontario. The licence request includes the following:",
0,Southbridge London — Project #23-011,Licence Transfer of the Long-Term Care Home’s Licence,Closed,"The Ministry of Long-term Care is reviewing a licence transfer request from CVH (Number 3) LP by its general partners, Southbridge Health Care GP Inc. and Southbridge Care Homes (a limited partnership, by its general partner, Southbridge Care Homes Inc.) (the “Current Licensee”) related to Southbridge London (the “Home”), a 160-bed long-term care home, located in London, Ontario. The licence request includes the following",
0,Bayfield Manor — Project #23-010,Licence Transfer of the Long-Term Care Home’s Licence,Closed,"The Ministry of Long-term Care is reviewing a proposal from CVH (Number 7) LP by its general partners, Southbridge Health Care GP Inc. and Southbridge Care Homes (a limited partnership, by its general partner, Southbridge Care Homes Inc.) (the “Current Licensee”) related to Bayfield Manor (the “Home”), a 66-bed long-term care home, located in Kemptville, Ontario. The licence request includes the following:",
0,Broadview Nursing Home — Project #23-008,The development of a 128-bed long-term care in Smiths Falls,Closed,"The Ministry of Long-term Care is reviewing a proposal from Broadview Nursing Centre Limited (the “Licensee”), for issuing a new long-term care home licence for Broadview Nursing Home (the “Home”), a 128-bed long-term carehome to be redeveloped in Smith Falls, Ontario.",128
0,Rose of Sharon Korean Long-Term Care Home — Project #23-006,Licence Transfer of the long-term care home’s licence to Arirang Age-Friendly Community Centre,Closed,"The MLTC is reviewing a proposal from Rose of Sharon (Ontario) Retirement Community (the “current licensee”) related to Rose of Sharon Korean Long Term Care (the “home”), a 60-bed long-term care (LTC) home, located in Toronto, Ontario.",
0,Edgewater Gardens — Project #22-005,The development of a 128-bed long-term care home in Dunnville,Closed,"The MLTC is reviewing a proposal from Haldimand War Memorial Hospital (the “licensee”), for issuing a new long-term care (LTC) home licence for Edgewater Garden Long Term Care Centre (the “home”), a 64-bed LTC home to be redeveloped in Dunnville, Ontario.",128
